"Model.Year","Eng.Displacement","No.Cylinders","Aspiration","No.Gears","Lockup.Torque.Converter","Drive.Sys","Max.Ethanol","Fuel.Type","Comb.FE"
2019,3.5,6,"N",9,"Y","F",10,"GP",NA
2019,2.4,4,"N",8,"Y","F",10,"GP",NA
2019,3.5,6,"N",9,"Y","F",10,"GP",NA
2019,2,4,"TC",7,"Y","F",15,"GP",NA
2019,3,6,"TC",8,"Y","A",15,"GP",NA
2019,2,4,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",6,"N","R",10,"GP",NA
2019,3,6,"TC",8,"Y","R",10,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",7,"N","R",10,"GP",NA
2019,4.4,8,"TC",7,"N","R",10,"GP",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,3.6,6,"TC",6,"N","R",10,"GPR",NA
2019,1.4,4,"TC",6,"N","F",10,"G",NA
2019,1.6,4,"TC",6,"N","F",15,"G",NA
2019,3.3,6,"TC",8,"Y","R",15,"GP",NA
2019,1.5,4,"TC",1,"Y","F",10,"G",NA
2019,2,4,"N",1,"Y","F",10,"G",NA
2019,2,4,"N",7,"Y","F",10,"G",NA
2019,1.6,4,"TC",7,"N","F",15,"G",NA
2019,1.6,4,"TC",6,"N","F",15,"G",NA
2019,2,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",6,"N","F",15,"G",NA
2019,2,4,"TC",7,"Y","F",10,"GPR",NA
2019,3,6,"SC",8,"Y","R",15,"GP",NA
2019,2,4,"TC",8,"Y","A",15,"GP",NA
2019,1.6,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"TC",8,"Y","R",15,"GPR",NA
2019,3.5,6,"N",6,"Y","A",15,"GPR",NA
2019,3.5,6,"N",8,"Y","R",15,"GPR",NA
2019,2,4,"N",6,"Y","4",10,"G",NA
2019,1.5,4,"N",6,"Y","F",10,"G",NA
2019,1.5,4,"N",6,"N","F",10,"G",NA
2019,4,8,"TC",9,"Y","R",10,"GPR",NA
2019,2,4,"TC",7,"Y","4",10,"GPR",NA
2019,3,6,"OT",9,"Y","4",10,"GPR",NA
2019,4,8,"TC",9,"Y","4",10,"GPR",NA
2019,4,8,"TC",9,"Y","4",10,"GPR",NA
2019,6,12,"TC",7,"Y","R",10,"GPR",NA
2019,2,4,"TC",9,"Y","R",10,"GPR",NA
2019,2,4,"TC",7,"Y","F",10,"GPR",NA
2019,2,4,"TC",7,"Y","4",85,"GPR",NA
2019,2,4,"TC",7,"Y","P",10,"GPR",NA
2019,1.2,3,"N",1,"Y","F",10,"G",NA
2019,1.2,3,"N",5,"N","F",10,"G",NA
2019,1.6,4,"N",5,"N","F",10,"G",NA
2019,2.5,4,"TC",6,"N","A",10,"GPR",NA
2019,2,4,"N",7,"Y","F",15,"G",NA
2019,2,4,"N",10,"Y","F",15,"G",NA
2019,2,4,"N",10,"Y","F",15,"G",NA
2019,1.5,4,"N",1,"N","F",15,"G",NA
2019,1.5,4,"N",4,"Y","F",15,"G",NA
2019,1.5,4,"N",6,"Y","F",10,"G",NA
2019,2,4,"TC",6,"Y","F",15,"G",NA
2019,1.4,4,"TC",6,"N","F",15,"G",NA
2019,2,4,"TC",7,"Y","A",15,"GP",NA
2019,2,4,"TC",6,"N","A",15,"GP",NA
2019,2,4,"TC",7,"Y","F",15,"G",NA
2019,2,4,"TC",6,"N","F",15,"G",NA
2019,2,4,"TC",7,"Y","F",15,"G",NA
2019,2,4,"TS",8,"Y","A",10,"GPR",NA
2019,3.5,6,"N",10,"Y","F",10,"GP",NA
2019,2,4,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",7,"N","A",15,"GP",NA
2019,2.9,6,"TC",8,"Y","A",15,"GP",NA
2019,3,6,"TC",8,"Y","A",15,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",8,"Y","F",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2.5,4,"N",6,"Y","F",10,"G",NA
2019,3.6,6,"N",9,"Y","F",10,"G",NA
2019,3.6,6,"N",9,"Y","A",10,"G",NA
2019,2,4,"TC",8,"Y","A",10,"GPR",NA
2019,2,4,"TC",8,"Y","R",10,"GPR",NA
2019,3.6,6,"TC",8,"Y","R",10,"GPR",NA
2019,6.2,8,"SC",8,"Y","R",10,"GPR",NA
2019,1.4,4,"TC",6,"Y","F",10,"G",NA
2019,2,4,"TC",9,"Y","F",10,"GPR",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,5.7,8,"N",6,"N","R",10,"GP",NA
2019,3.6,6,"N",8,"Y","A",10,"G",NA
2019,6.2,8,"SC",6,"N","R",10,"GP",NA
2019,2,4,"TC",6,"Y","A",15,"G",NA
2019,2.7,6,"TC",6,"Y","A",15,"G",NA
2019,1.5,4,"TC",6,"Y","F",15,"G",NA
2019,2.5,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",1,"N","F",15,"G",NA
2019,2,4,"TC",10,"Y","F",10,"G",NA
2019,1.5,4,"TC",1,"Y","F",10,"G",NA
2019,1.5,4,"TC",7,"Y","F",10,"G",NA
2019,1.5,4,"TC",6,"N","F",10,"GP",NA
2019,2,4,"N",1,"Y","F",10,"G",NA
2019,2,4,"N",7,"Y","F",10,"G",NA
2019,2,4,"N",6,"N","F",10,"G",NA
2019,1.5,4,"N",1,"Y","F",10,"G",NA
2019,1.5,4,"N",1,"Y","F",10,"G",NA
2019,1.6,4,"TC",7,"N","F",15,"G",NA
2019,1.6,4,"TC",6,"N","F",15,"G",NA
2019,2,4,"N",6,"N","F",15,"G",NA
2019,3,6,"TC",7,"Y","R",15,"GPR",NA
2019,3,6,"TC",7,"Y","A",15,"GPR",NA
2019,3,6,"TC",7,"Y","A",15,"GPR",NA
2019,3,6,"TC",7,"Y","R",15,"GPR",NA
2019,3.7,6,"N",7,"Y","R",10,"GPR",NA
2019,5.6,8,"N",7,"Y","A",10,"GPR",NA
2019,2,4,"N",6,"N","F",15,"G",NA
2019,3.3,6,"TC",8,"Y","A",15,"GP",NA
2019,3.3,6,"TC",8,"Y","R",15,"GP",NA
2019,2,4,"TC",8,"Y","R",15,"GPR",NA
2019,2,4,"TC",8,"Y","R",15,"GPR",NA
2019,3.5,6,"N",8,"Y","R",15,"GPR",NA
2019,3.5,6,"N",8,"Y","R",15,"GPR",NA
2019,3.5,6,"N",10,"N","A",15,"GPR",NA
2019,2,4,"N",10,"Y","F",15,"G",NA
2019,2,4,"TC",6,"Y","A",15,"G",NA
2019,3,6,"TC",6,"Y","A",15,"G",NA
2019,2,4,"N",1,"N","F",15,"G",NA
2019,3,6,"TC",8,"Y","R",10,"GPR",NA
2019,2.5,4,"N",6,"N","F",10,"G",NA
2019,2.5,4,"N",6,"Y","4",10,"G",NA
2019,2.5,4,"TC",6,"Y","F",10,"G",NA
2019,3,6,"OT",9,"Y","4",10,"GPR",NA
2019,2,4,"TC",9,"Y","R",10,"GPR",NA
2019,3,6,"TC",9,"Y","4",10,"GPR",NA
2019,1.5,3,"TC",6,"Y","F",10,"GP",NA
2019,1.5,3,"TC",8,"Y","A",10,"GP",NA
2019,1.5,3,"TC",6,"N","A",10,"GP",NA
2019,1.5,3,"TC",6,"Y","F",10,"GP",NA
2019,2,4,"TC",8,"Y","F",10,"GP",NA
2019,2,4,"TC",6,"N","F",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",6,"N","A",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",6,"N","A",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2.5,4,"N",1,"Y","F",15,"G",NA
2019,2.5,4,"N",1,"Y","A",15,"G",NA
2019,2.5,4,"N",1,"Y","A",15,"G",NA
2019,2,4,"TC",1,"Y","F",15,"G",NA
2019,1.6,4,"N",1,"Y","F",10,"G",NA
2019,1.6,4,"TC",7,"Y","F",15,"GP",NA
2019,1.8,4,"N",6,"N","F",10,"G",NA
2019,6.6,12,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"N",7,"Y","A",15,"G",NA
2019,2,4,"N",5,"N","A",15,"G",NA
2019,2.5,4,"N",7,"Y","A",10,"G",NA
2019,2.5,4,"N",6,"N","F",15,"G",NA
2019,3.5,6,"N",8,"Y","F",15,"G",NA
2019,2.5,4,"N",8,"Y","F",15,"G",NA
2019,3.5,6,"N",8,"Y","F",15,"G",NA
2019,2.5,4,"N",8,"Y","F",15,"G",NA
2019,1.8,4,"N",1,"Y","F",15,"G",NA
2019,1.8,4,"N",7,"Y","F",15,"G",NA
2019,1.8,4,"N",6,"N","F",15,"G",NA
2019,1.8,4,"N",1,"Y","F",15,"G",NA
2019,1.8,4,"N",1,"Y","F",15,"G",NA
2019,1.8,4,"N",1,"N","P",15,"G",NA
2019,2,4,"TS",8,"Y","A",10,"GPR",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",8,"Y","R",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,6.6,12,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",10,"Y","A",10,"GPR",NA
2019,3.6,6,"N",6,"Y","F",10,"G",NA
2019,3.6,6,"N",6,"Y","A",10,"G",NA
2019,2.5,4,"N",6,"Y","F",10,"G",NA
2019,3.6,6,"N",8,"Y","R",85,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,3.6,6,"N",8,"Y","A",85,"G",NA
2019,3.6,6,"N",8,"Y","A",10,"G",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,6.4,8,"N",8,"Y","R",10,"GP",NA
2019,3.3,6,"TC",8,"Y","R",15,"GP",NA
2019,3.8,6,"N",8,"Y","R",15,"G",NA
2019,5,8,"N",8,"Y","R",15,"GP",NA
2019,3.3,6,"TC",8,"Y","A",15,"GP",NA
2019,5,8,"N",8,"Y","A",15,"GP",NA
2019,3.3,6,"TC",8,"Y","R",15,"GP",NA
2019,1.5,4,"TC",7,"Y","F",10,"G",NA
2019,1.5,4,"TC",6,"N","F",10,"G",NA
2019,2,4,"TC",10,"Y","F",10,"G",NA
2019,1.5,4,"TC",1,"Y","F",10,"G",NA
2019,2,4,"TC",6,"N","F",10,"GP",NA
2019,1.6,4,"TC",6,"N","F",15,"G",NA
2019,2,4,"N",6,"Y","F",15,"G",NA
2019,2.4,4,"N",6,"Y","F",15,"G",NA
2019,5,8,"SC",8,"Y","R",15,"GP",NA
2019,3,6,"SC",8,"Y","A",15,"GP",NA
2019,3,6,"SC",8,"Y","A",15,"GP",NA
2019,1.6,4,"TC",7,"N","F",15,"G",NA
2019,2,4,"TC",6,"Y","F",15,"G",NA
2019,2.4,4,"N",6,"Y","F",15,"G",NA
2019,3,6,"TC",6,"Y","A",15,"G",NA
2019,3.7,6,"N",6,"Y","A",15,"G",NA
2019,2.7,6,"TC",6,"Y","F",15,"G",NA
2019,3.8,8,"TC",8,"Y","R",10,"GPR",NA
2019,6,12,"TC",7,"Y","R",10,"GPR",NA
2019,6,12,"TC",7,"Y","R",10,"GPR",NA
2019,3,6,"TC",9,"Y","R",10,"GPR",NA
2019,3,6,"TC",9,"Y","4",10,"GPR",NA
2019,4,8,"TC",9,"Y","4",10,"GPR",NA
2019,3,6,"TC",8,"N","R",10,"GPR",NA
2019,2.9,6,"TC",8,"N","4",10,"GPR",NA
2019,2.9,6,"TC",8,"N","4",10,"GPR",NA
2019,4,8,"TC",8,"N","A",10,"GPR",NA
2019,4,8,"TC",8,"N","A",10,"GPR",NA
2019,4,8,"TC",8,"N","A",10,"GPR",NA
2019,4,8,"TC",8,"N","A",10,"GPR",NA
2019,6.6,12,"TC",8,"Y","R",10,"GP",NA
2019,6.6,12,"TC",8,"Y","R",10,"GP",NA
2019,6.7,12,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"TC",8,"Y","F",15,"GP",NA
2019,2,4,"TC",8,"Y","A",15,"GP",NA
2019,2,4,"TC",7,"Y","A",15,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GPR",NA
2019,1.4,4,"TC",6,"Y","F",10,"G",NA
2019,1.4,4,"TC",6,"N","F",10,"G",NA
2019,1.4,4,"TC",6,"Y","F",10,"GP",NA
2019,1.5,4,"N",1,"Y","F",10,"G",NA
2019,1.5,4,"N",7,"Y","F",10,"G",NA
2019,1.5,4,"N",6,"N","F",10,"G",NA
2019,1.8,4,"N",1,"Y","4",10,"G",NA
2019,1.8,4,"N",7,"Y","4",10,"G",NA
2019,1.8,4,"N",1,"Y","F",10,"G",NA
2019,1.8,4,"N",7,"Y","F",10,"G",NA
2019,1.6,4,"N",6,"N","F",15,"G",NA
2019,1.6,4,"N",6,"N","F",15,"G",NA
2019,1.6,4,"TC",7,"N","F",15,"G",NA
2019,1.6,4,"N",6,"Y","F",15,"G",NA
2019,1.6,4,"N",6,"N","F",15,"G",NA
2019,2,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",7,"Y","A",10,"G",NA
2019,2,4,"N",7,"Y","A",15,"G",NA
2019,2,4,"N",7,"Y","A",15,"G",NA
2019,1.8,4,"TC",6,"Y","A",15,"G",NA
2019,1.8,4,"TC",6,"N","A",15,"G",NA
2019,2,4,"TC",8,"Y","A",10,"GPR",NA
2019,2,4,"TC",8,"Y","F",10,"GPR",NA
2019,4,8,"TC",9,"Y","4",10,"GPR",NA
2019,3,6,"TC",9,"Y","4",10,"GPR",NA
2019,2.5,4,"N",6,"Y","R",10,"G",NA
2019,2.5,4,"N",6,"N","R",10,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,2.5,4,"N",6,"Y","R",10,"G",NA
2019,2.5,4,"N",6,"N","R",10,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,3.5,6,"N",6,"Y","F",10,"G",NA
2019,2.5,4,"N",5,"Y","R",10,"G",NA
2019,4,6,"N",5,"Y","R",10,"G",NA
2019,4,6,"N",6,"N","R",10,"G",NA
2019,4,6,"N",5,"Y","R",85,"G",NA
2019,2.7,4,"N",6,"Y","R",15,"G",NA
2019,3.5,6,"N",6,"Y","R",15,"G",NA
2019,2.5,4,"N",6,"Y","4",10,"G",NA
2019,2.5,4,"N",6,"Y","4",10,"G",NA
2019,3.6,6,"N",8,"Y","4",10,"G",NA
2019,4,6,"N",5,"Y","P",85,"G",NA
2019,2.7,4,"N",6,"Y","P",15,"G",NA
2019,3.5,6,"N",6,"Y","P",15,"G",NA
2019,3.5,6,"N",6,"N","P",15,"G",NA
2019,3.5,6,"N",6,"N","P",15,"G",NA
2019,3.5,6,"N",6,"Y","P",15,"G",NA
2019,2.7,4,"TC",8,"Y","R",10,"G",NA
2019,4.3,6,"N",6,"Y","R",10,"G",NA
2019,5.3,8,"N",6,"Y","R",85,"G",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,5.3,8,"N",8,"Y","R",10,"G",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,2.7,6,"TC",10,"Y","R",15,"G",NA
2019,3.5,6,"TC",10,"Y","R",15,"G",NA
2019,5,8,"N",10,"Y","R",85,"G",NA
2019,5,8,"N",10,"Y","R",85,"G",NA
2019,2.7,6,"TC",10,"Y","R",15,"G",NA
2019,3.5,6,"TC",10,"Y","R",15,"G",NA
2019,5,8,"N",10,"Y","R",85,"G",NA
2019,3.5,6,"TC",10,"Y","R",15,"G",NA
2019,2.7,4,"TC",8,"Y","R",10,"G",NA
2019,4.3,6,"N",6,"Y","R",10,"G",NA
2019,5.3,8,"N",8,"Y","R",10,"G",NA
2019,5.3,8,"N",8,"Y","R",10,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5,8,"SC",10,"Y","R",10,"GPR",NA
2019,4.6,8,"N",6,"Y","R",15,"G",NA
2019,5.7,8,"N",6,"Y","R",15,"G",NA
2019,2.7,4,"TC",8,"Y","4",10,"G",NA
2019,4.3,6,"N",6,"Y","4",10,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,4.3,6,"N",6,"Y","4",10,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,2.7,6,"TC",10,"Y","P",15,"G",NA
2019,3.5,6,"TC",10,"Y","P",15,"G",NA
2019,5,8,"N",10,"Y","P",85,"G",NA
2019,2.7,6,"TC",10,"Y","P",15,"G",NA
2019,3.3,6,"N",6,"Y","P",85,"G",NA
2019,5,8,"N",10,"Y","P",85,"G",NA
2019,3.5,6,"TC",10,"Y","P",15,"G",NA
2019,2.3,4,"TC",10,"Y","P",15,"G",NA
2019,2.7,4,"TC",8,"Y","4",10,"G",NA
2019,5.3,8,"N",8,"Y","4",10,"G",NA
2019,5.6,8,"N",7,"Y","P",10,"G",NA
2019,5.7,8,"N",8,"Y","4",10,"GM",NA
2019,3.6,6,"N",8,"Y","4",85,"G",NA
2019,5.7,8,"N",8,"Y","4",10,"GM",NA
2019,3.5,6,"TC",6,"Y","R",15,"G",NA
2019,3.7,6,"N",6,"Y","R",15,"G",NA
2019,3.7,6,"N",6,"Y","R",85,"G",NA
2019,3.6,6,"N",6,"Y","F",10,"G",NA
2019,2.5,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",8,"Y","F",15,"G",NA
2019,2.5,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",8,"Y","F",85,"G",NA
2019,2,4,"N",8,"Y","F",85,"G",NA
2019,2,4,"N",8,"Y","F",15,"G",NA
2019,2.5,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"TC",7,"Y","R",10,"GPR",NA
2019,2,4,"TC",7,"Y","R",10,"GPR",NA
2019,2,4,"N",1,"Y","F",10,"G",NA
2019,2,4,"N",1,"Y","F",10,"G",NA
2019,2.4,4,"N",9,"Y","F",10,"G",NA
2019,3.5,6,"TC",6,"Y","A",15,"G",NA
2019,3.5,6,"TC",6,"Y","A",15,"G",NA
2019,3.7,6,"N",6,"Y","A",15,"G",NA
2019,4.3,6,"N",6,"Y","R",10,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,4.3,6,"N",6,"Y","R",10,"G",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,3.5,6,"N",10,"Y","F",10,"G",NA
2019,3.3,6,"N",8,"Y","F",15,"G",NA
2019,3.5,6,"N",8,"Y","F",15,"G",NA
2019,3.5,6,"N",9,"Y","F",10,"GP",NA
2019,2,4,"TC",10,"Y","F",10,"GP",NA
2019,1.4,4,"TC",6,"Y","F",10,"G",NA
2019,3.6,6,"N",8,"Y","F",10,"G",NA
2019,2.5,4,"N",9,"Y","F",10,"G",NA
2019,2,4,"TC",9,"Y","F",10,"GPR",NA
2019,1,3,"TC",6,"Y","F",15,"G",NA
2019,2.5,4,"N",6,"Y","F",85,"G",NA
2019,1.5,4,"TC",9,"Y","F",10,"G",NA
2019,1.5,4,"TC",1,"Y","F",10,"G",NA
2019,2.4,4,"N",1,"Y","F",10,"G",NA
2019,3.5,6,"N",9,"Y","F",10,"G",NA
2019,1.6,4,"TC",7,"N","F",15,"G",NA
2019,2.4,4,"N",8,"Y","F",15,"G",NA
2019,3.3,6,"N",6,"Y","F",15,"G",NA
2019,3.3,6,"N",6,"Y","F",15,"G",NA
2019,2,4,"N",6,"Y","F",15,"G",NA
2019,2.4,4,"N",6,"Y","F",15,"G",NA
2019,2,4,"TC",9,"Y","F",10,"G",NA
2019,3.2,6,"N",9,"Y","F",10,"GM",NA
2019,2.4,4,"N",6,"Y","F",10,"G",NA
2019,2.4,4,"N",6,"N","F",10,"G",NA
2019,1.3,4,"TC",9,"Y","F",10,"G",NA
2019,2.4,4,"N",6,"Y","F",15,"G",NA
2019,3.3,6,"N",8,"Y","F",15,"G",NA
2019,2.4,4,"N",6,"Y","F",15,"G",NA
2019,3.5,6,"N",8,"Y","F",15,"G",NA
2019,2,4,"TC",6,"Y","F",15,"G",NA
2019,2.5,4,"TC",6,"Y","F",10,"G",NA
2019,2.5,4,"TC",6,"Y","F",10,"G",NA
2019,2.4,4,"N",6,"Y","F",10,"G",NA
2019,2,4,"N",6,"Y","F",10,"G",NA
2019,3.5,6,"N",1,"Y","F",15,"G",NA
2019,2.5,4,"N",1,"Y","F",10,"G",NA
2019,2,4,"N",7,"Y","F",10,"G",NA
2019,2.7,4,"N",6,"Y","F",15,"G",NA
2019,3.5,6,"N",8,"Y","F",15,"G",NA
2019,2,4,"TC",8,"Y","F",15,"G",NA
2019,3.6,6,"N",8,"Y","F",15,"G",NA
2019,2,4,"TC",8,"Y","F",15,"G",NA
2019,2,4,"TC",8,"Y","F",10,"GPR",NA
2019,2,4,"TC",10,"Y","4",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",8,"Y","A",15,"G",NA
2019,2,4,"TC",8,"Y","R",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,2,4,"TC",8,"Y","A",10,"GP",NA
2019,1.4,4,"TC",6,"Y","A",10,"G",NA
2019,1.4,4,"TC",6,"Y","A",10,"G",NA
2019,2.5,4,"N",6,"Y","A",10,"G",NA
2019,2,4,"TC",9,"Y","A",10,"GPR",NA
2019,1.5,4,"TC",6,"Y","A",10,"G",NA
2019,2,4,"TC",9,"Y","A",10,"GPR",NA
2019,1.4,4,"TC",6,"Y","A",10,"G",NA
2019,2,4,"N",6,"Y","A",15,"G",NA
2019,2,4,"TC",8,"Y","A",15,"G",NA
2019,2.7,6,"TC",8,"Y","A",15,"G",NA
2019,2,4,"TC",9,"Y","A",10,"GPR",NA
2019,3.5,6,"N",9,"Y","A",10,"G",NA
2019,1.6,4,"TC",7,"N","A",15,"G",NA
2019,2,4,"N",6,"Y","A",15,"G",NA
2019,2,4,"TC",8,"Y","A",15,"GPR",NA
2019,3.5,6,"N",7,"Y","A",15,"GP",NA
2019,3,6,"SC",8,"Y","A",15,"GP",NA
2019,5,8,"SC",8,"Y","A",15,"GP",NA
2019,2,4,"TC",9,"Y","A",15,"GP",NA
2019,3.2,6,"N",9,"Y","A",10,"GM",NA
2019,2,4,"TC",9,"Y","4",10,"G",NA
2019,3.2,6,"N",9,"Y","4",10,"GM",NA
2019,2,4,"TC",9,"Y","4",10,"G",NA
2019,3.2,6,"N",9,"Y","4",10,"GM",NA
2019,1.3,4,"TC",9,"Y","A",10,"G",NA
2019,3.6,6,"N",8,"Y","4",10,"G",NA
2019,3.6,6,"N",6,"N","4",10,"G",NA
2019,2,4,"TC",8,"Y","4",10,"G",NA
2019,3.6,6,"N",8,"Y","4",10,"G",NA
2019,3.6,6,"N",6,"N","4",10,"G",NA
2019,3.3,6,"N",8,"Y","A",15,"G",NA
2019,2,4,"TC",6,"Y","A",15,"G",NA
2019,2.4,4,"N",6,"Y","A",15,"G",NA
2019,2,4,"TC",9,"Y","A",15,"GP",NA
2019,2,4,"TC",9,"Y","A",15,"GP",NA
2019,2,4,"TC",9,"Y","A",15,"GP",NA
2019,2,4,"TC",6,"Y","A",15,"GPR",NA
2019,2.5,4,"N",6,"N","A",15,"G",NA
2019,2,4,"TC",6,"Y","A",15,"G",NA
2019,2.3,4,"TC",6,"Y","A",15,"G",NA
2019,2,4,"TC",8,"Y","A",15,"G",NA
2019,2.7,6,"TC",8,"Y","A",15,"G",NA
2019,2.5,4,"N",6,"Y","4",10,"G",NA
2019,2.5,4,"TC",6,"Y","4",10,"G",NA
2019,2.5,4,"TC",6,"Y","4",10,"G",NA
2019,4,8,"TC",9,"Y","4",10,"GPR",NA
2019,2,4,"TC",7,"Y","P",10,"GPR",NA
2019,2,4,"TC",7,"Y","4",85,"GPR",NA
2019,2.4,4,"N",6,"Y","4",10,"G",NA
2019,2.5,4,"N",1,"Y","A",10,"G",NA
2019,2,4,"TC",7,"N","A",10,"GP",NA
2019,2,4,"N",7,"Y","A",15,"G",NA
2019,2.5,4,"N",7,"Y","A",10,"G",NA
2019,2.5,4,"N",8,"Y","A",15,"G",NA
2019,2,4,"TC",8,"Y","A",15,"G",NA
2019,3,6,"TC",8,"Y","R",10,"GP",NA
2019,3.6,6,"N",9,"Y","F",10,"G",NA
2019,5.3,8,"N",6,"Y","R",85,"G",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,6.2,8,"N",10,"Y","R",10,"GPR",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,6.2,8,"N",10,"Y","R",10,"GPR",NA
2019,2,4,"TC",9,"Y","F",10,"GPR",NA
2019,3.6,6,"N",9,"Y","F",10,"G",NA
2019,3.6,6,"N",8,"Y","R",10,"G",NA
2019,5.7,8,"N",8,"Y","R",10,"GM",NA
2019,3.5,6,"TC",10,"Y","R",15,"G",NA
2019,3.5,6,"N",6,"Y","F",85,"G",NA
2019,2.3,4,"TC",6,"Y","F",15,"G",NA
2019,3.5,6,"N",6,"Y","F",15,"G",NA
2019,3.5,6,"N",6,"Y","F",15,"G",NA
2019,2.5,4,"N",6,"Y","F",10,"G",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,6.2,8,"N",10,"Y","R",10,"GPR",NA
2019,5.3,8,"N",6,"Y","R",10,"G",NA
2019,3.7,6,"N",6,"Y","F",15,"G",NA
2019,3.5,6,"TC",10,"Y","R",15,"G",NA
2019,5.6,8,"N",7,"Y","R",10,"G",NA
2019,5.7,8,"N",6,"Y","R",15,"G",NA
2019,2,4,"TC",8,"Y","A",15,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,3,6,"TC",8,"Y","A",10,"GP",NA
2019,4.4,8,"TC",8,"Y","A",10,"GP",NA
2019,3.6,6,"N",9,"Y","A",10,"G",NA
2019,6.2,8,"N",10,"Y","4",10,"GPR",NA
2019,5.3,8,"N",6,"Y","4",85,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,6.2,8,"N",10,"Y","4",10,"GPR",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,3.6,6,"N",9,"Y","A",10,"G",NA
2019,3.5,6,"N",6,"Y","A",15,"G",NA
2019,3.5,6,"TC",6,"Y","A",15,"G",NA
2019,3.5,6,"N",6,"Y","A",85,"G",NA
2019,3.5,6,"TC",6,"Y","A",15,"G",NA
2019,3.5,6,"N",6,"Y","A",15,"G",NA
2019,5.3,8,"N",6,"Y","4",10,"G",NA
2019,6.2,8,"N",10,"Y","4",10,"GPR",NA
2019,5.6,8,"N",7,"Y","4",10,"GP",NA
2019,5.7,8,"N",8,"Y","A",10,"GM",NA
2019,6.2,8,"SC",8,"Y","A",10,"GP",NA
